system	device	scale	time
aloha	GPU	2	145.0
aloha	GPU	5	388.0
csma	GPU	2	121.0
agent_covid	GPU	100	416.0
agent_covid	GPU	500	7922.0
aloha	CPU	2	280.0
aloha	CPU	5	1056.0
csma	CPU	2	100.0
agent_covid	CPU	100	1002.0
agent_covid	CPU	500	22902.0
aloha	JIT	2	104.0
aloha	JIT	5	319.0
csma	JIT	2	76.0
agent_covid	JIT	100	304.0
agent_covid	JIT	500	4068.0
aloha	SM	2	143.0
aloha	SM	5	387.0
csma	SM	2	124.0
agent_covid	SM	100	423.0
agent_covid	SM	500	8376.0
aloha	PN	2	133.0
aloha	PN	5	378.0
csma	PN	2	112.0
agent_covid	PN	100	338.0
agent_covid	PN	500	5847.0
aloha	PN-CPU	2	267.0
aloha	PN-CPU	5	1097.0
csma	PN-CPU	2	88.0
agent_covid	PN-CPU	100	861.0
agent_covid	PN-CPU	500	19066.0
