sim_id,step,var_id,value
0,1,0,0
0,1,1,0
0,1,2,0
0,2,0,0
0,2,1,0
0,2,2,0
0,3,0,0
0,3,1,0
0,3,2,0
0,4,0,0
0,4,1,0
0,4,2,0
0,5,0,0
0,5,1,0
0,5,2,0
0,6,0,0
0,6,1,0
0,6,2,0
0,7,0,0
0,7,1,0
0,7,2,0
0,8,0,0
0,8,1,0
0,8,2,0
0,9,0,0
0,9,1,0
0,9,2,0
0,10,0,0
0,10,1,0
0,10,2,0
0,11,0,0
0,11,1,0
0,11,2,0
0,12,0,0
0,12,1,0
0,12,2,0
0,13,0,0
0,13,1,0
0,13,2,0
0,14,0,0
0,14,1,0
0,14,2,0
0,15,0,0
0,15,1,0
0,15,2,0
0,16,0,0
0,16,1,0
0,16,2,0
0,17,0,0
0,17,1,0
0,17,2,0
0,18,0,0
0,18,1,0
0,18,2,0
0,19,0,0
0,19,1,0
0,19,2,0
0,20,0,0
0,20,1,0
0,20,2,0
0,21,0,0
0,21,1,0
0,21,2,0
0,22,0,0
0,22,1,0
0,22,2,0
0,23,0,0
0,23,1,0
0,23,2,0
0,24,0,0
0,24,1,0
0,24,2,0
0,25,0,0
0,25,1,0
0,25,2,0
0,26,0,0
0,26,1,0
0,26,2,0
0,27,0,0
0,27,1,0
0,27,2,0
0,28,0,0
0,28,1,0
0,28,2,0
0,29,0,0
0,29,1,0
0,29,2,0
0,30,0,0
0,30,1,0
0,30,2,0
0,31,0,0
0,31,1,0
0,31,2,1
0,32,0,0
0,32,1,1
0,32,2,1
0,33,0,0
0,33,1,1
0,33,2,0
0,34,0,0
0,34,1,1
0,34,2,1
0,35,0,0
0,35,1,2
0,35,2,1
0,36,0,0
0,36,1,2
0,36,2,2
0,37,0,0
0,37,1,3
0,37,2,2
0,38,0,0
0,38,1,3
0,38,2,1
0,39,0,0
0,39,1,3
0,39,2,0
0,40,0,0
0,40,1,3
0,40,2,1
0,41,0,0
0,41,1,4
0,41,2,1
0,42,0,0
0,42,1,4
0,42,2,0
0,43,0,0
0,43,1,4
0,43,2,1
0,44,0,0
0,44,1,5
0,44,2,1
0,45,0,0
0,45,1,5
0,45,2,1
0,46,0,0
0,46,1,5
0,46,2,1
0,47,0,0
0,47,1,5
0,47,2,2
0,48,0,0
0,48,1,5
0,48,2,2
0,49,0,0
0,49,1,5
0,49,2,2
0,50,0,0
0,50,1,6
0,50,2,2
0,51,0,0
0,51,1,6
0,51,2,1
0,52,0,0
0,52,1,6
0,52,2,0
0,53,0,0
0,53,1,6
0,53,2,1
0,54,0,0
0,54,1,7
0,54,2,1
0,55,0,0
0,55,1,7
0,55,2,0
0,56,0,0
0,56,1,7
0,56,2,1
0,57,0,0
0,57,1,7
0,57,2,1
0,58,0,0
0,58,1,7
0,58,2,1
0,59,0,0
0,59,1,7
0,59,2,1
0,60,0,0
0,60,1,7
0,60,2,1
0,61,0,0
0,61,1,8
0,61,2,1
0,62,0,0
0,62,1,8
0,62,2,1
0,63,0,0
0,63,1,8
0,63,2,2
0,64,0,0
0,64,1,9
0,64,2,2
0,65,0,0
0,65,1,9
0,65,2,3
0,66,0,0
0,66,1,9
0,66,2,3
0,67,0,0
0,67,1,9
0,67,2,3
0,68,0,0
0,68,1,9
0,68,2,3
0,69,0,0
0,69,1,9
0,69,2,3
0,70,0,0
0,70,1,10
0,70,2,3
0,71,0,0
0,71,1,10
0,71,2,2
0,72,0,0
0,72,1,10
0,72,2,2
0,73,0,0
0,73,1,10
0,73,2,1
0,74,0,0
0,74,1,10
0,74,2,1
0,75,0,0
0,75,1,10
0,75,2,0
0,76,0,0
0,76,1,10
0,76,2,1
0,77,0,0
0,77,1,10
0,77,2,1
0,78,0,0
0,78,1,11
0,78,2,1
0,79,0,0
0,79,1,11
0,79,2,1
0,80,0,0
0,80,1,11
0,80,2,1
0,81,0,0
0,81,1,11
0,81,2,1
0,82,0,0
0,82,1,11
0,82,2,2
0,83,0,0
0,83,1,12
0,83,2,2
0,84,0,0
0,84,1,12
0,84,2,1
0,85,0,0
0,85,1,12
0,85,2,2
0,86,0,0
0,86,1,13
0,86,2,2
0,87,0,0
0,87,1,13
0,87,2,1
0,88,0,0
0,88,1,13
0,88,2,1
0,89,0,0
0,89,1,13
0,89,2,2
0,90,0,0
0,90,1,14
0,90,2,2
0,91,0,0
0,91,1,14
0,91,2,2
0,92,0,0
0,92,1,14
0,92,2,3
0,93,0,0
0,93,1,15
0,93,2,3
0,94,0,0
0,94,1,15
0,94,2,2
0,95,0,0
0,95,1,15
0,95,2,1
0,96,0,0
0,96,1,15
0,96,2,1
0,97,0,0
0,97,1,15
0,97,2,2
0,98,0,0
0,98,1,15
0,98,2,2
0,99,0,0
0,99,1,15
0,99,2,2
0,100,0,0
0,100,1,16
0,100,2,2
0,101,0,0
0,101,1,16
0,101,2,2
0,102,0,0
0,102,1,16
0,102,2,3
0,103,0,0
0,103,1,17
0,103,2,3
0,104,0,0
0,104,1,17
0,104,2,2
0,105,0,0
0,105,1,17
0,105,2,3
0,106,0,0
0,106,1,18
0,106,2,3
0,107,0,0
0,107,1,18
0,107,2,4
0,108,0,0
0,108,1,19
0,108,2,4
0,109,0,0
0,109,1,19
0,109,2,3
0,110,0,0
0,110,1,19
0,110,2,4
0,111,0,0
0,111,1,20
0,111,2,4
0,112,0,0
0,112,1,20
0,112,2,5
0,113,0,0
0,113,1,21
0,113,2,5
0,114,0,0
0,114,1,21
0,114,2,6
0,115,0,0
0,115,1,22
0,115,2,6
0,116,0,0
0,116,1,22
0,116,2,6
0,117,0,0
0,117,1,22
0,117,2,6
0,118,0,0
0,118,1,22
0,118,2,5
0,119,0,0
0,119,1,22
0,119,2,6
0,120,0,0
0,120,1,23
0,120,2,6
0,121,0,0
0,121,1,23
0,121,2,6
0,122,0,0
0,122,1,23
0,122,2,7
0,123,0,0
0,123,1,24
0,123,2,7
0,124,0,0
0,124,1,24
0,124,2,8
0,125,0,0
0,125,1,25
0,125,2,8
0,126,0,0
0,126,1,25
0,126,2,8
0,127,0,0
0,127,1,25
0,127,2,8
0,128,0,0
0,128,1,25
0,128,2,8
0,129,0,0
0,129,1,25
0,129,2,8
0,130,0,0
0,130,1,25
0,130,2,7
0,131,0,0
0,131,1,25
0,131,2,7
0,132,0,0
0,132,1,25
0,132,2,8
0,133,0,0
0,133,1,26
0,133,2,8
0,134,0,0
0,134,1,26
0,134,2,9
0,135,0,0
0,135,1,27
0,135,2,9
0,136,0,0
0,136,1,27
0,136,2,9
0,137,0,0
0,137,1,27
0,137,2,9
0,138,0,0
0,138,1,27
0,138,2,8
0,139,0,0
0,139,1,27
0,139,2,9
0,140,0,0
0,140,1,28
0,140,2,9
0,141,0,0
0,141,1,28
0,141,2,8
0,142,0,0
0,142,1,28
0,142,2,8
0,143,0,0
0,143,1,28
0,143,2,9
0,144,0,0
0,144,1,29
0,144,2,9
0,145,0,0
0,145,1,29
0,145,2,9
0,146,0,0
0,146,1,29
0,146,2,9
0,147,0,0
0,147,1,29
0,147,2,10
0,148,0,0
0,148,1,30
0,148,2,10
0,149,0,0
0,149,1,30
0,149,2,10
0,150,0,0
0,150,1,30
0,150,2,10
0,151,0,0
0,151,1,30
0,151,2,10
0,152,0,0
0,152,1,30
0,152,2,10
0,153,0,0
0,153,1,30
0,153,2,10
0,154,0,0
0,154,1,30
0,154,2,10
0,155,0,0
0,155,1,30
0,155,2,10
0,156,0,0
0,156,1,30
0,156,2,10
0,157,0,0
0,157,1,30
0,157,2,10
0,158,0,0
0,158,1,30
0,158,2,10
0,159,0,0
0,159,1,30
0,159,2,10
0,160,0,0
0,160,1,30
0,160,2,10
0,161,0,0
0,161,1,30
0,161,2,10
0,162,0,0
0,162,1,30
0,162,2,10
0,163,0,0
0,163,1,30
0,163,2,10
0,164,0,0
0,164,1,30
0,164,2,10
0,165,0,0
0,165,1,30
0,165,2,10
0,166,0,0
0,166,1,30
0,166,2,10
0,167,0,0
0,167,1,30
0,167,2,10
0,168,0,0
0,168,1,30
0,168,2,10
0,169,0,0
0,169,1,30
0,169,2,10
0,170,0,0
0,170,1,30
0,170,2,10
0,171,0,0
0,171,1,30
0,171,2,10
0,172,0,0
0,172,1,30
0,172,2,10
0,173,0,0
0,173,1,30
0,173,2,10
